Imm-Lot;Désignation;Entrée le;Sortie le;Bâtiment;Etage;Escalier;Porte
R69-0001;Box N°1 - 23 M² OU 67M3;30/08/2023;...;;;;
R69-0002;Box N°2 /23 M2 OU 67M3;30/08/2023;...;;;;
R69-0003;Box N°3 /23 M2 OU 67M3;30/08/2023;...;;;;
R69-0004;Box N°4 /11.5 M2 OU 35 M3;30/08/2023;...;;;;
R69-0005;Box DE 11.5 M2 / OU 35 M3;30/08/2023;...;;;;
R69-0006;Box N°6 DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0007;Box N°7 DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0008;Box N°8 DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0009;Box N°9 DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0010;Box N°10 DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0011;Box N°11 DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0012;Box N°12 DE 18.5 M2 /58M3;30/08/2023;...;;;;
R69-0013;Box N°13 DE 16 M2 /51M3;30/08/2023;...;;;;
R69-0014;Box N°14 DE 16 M2 /51M3;20/08/2023;...;;;;
R69-0015;Box N°15 DE 18.5 M2 /58M3;30/08/2023;...;;;;
R69-0016;Box N°16 DE 11.5M2 /35M3;30/08/2023;...;;;;
R69-0017;Box N°17 DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0018;Box N°18 DE 21.5 M2 /65M3;30/08/2023;...;;;;
R69-0019;Box N°19 DE 21.5 M2 /65M3;30/08/2023;...;;;;
R69-0020;;;...;;;;
R69-0021;Box N°21 DE 23 M2 /67M3;30/08/2023;...;;;;
R69-0022;Box N°22 DE 45 M2 /263M3;30/08/2023;...;;;;
R69-0023;Box N°23 DE23 M2 /67M3;30/08/2023;...;;;;
R69-0024;Box N°24 DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0025;Box N°25 DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0026;Box N°26 DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0027;Box N°27 DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0028;Box N°28 DE11.5 M2 /35Box;30/08/2023;...;;;;
R69-0029;Box N°29DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0030;Box N°30 DE11.5 M2 /35Box;30/08/2023;...;;;;
R69-0031;Box N°31DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0032;Box N°32 DE 18.5 M2 /58M3;30/08/2023;...;;;;
R69-0033;Box N°33 DE 16 M2 /51M3;30/08/2023;...;;;;
R69-0034;Box N°34 DE 16 M2 /51M3;30/08/2023;...;;;;
R69-0035;Box N°35 DE 18.5 M2 /58M3;30/08/2023;...;;;;
R69-0036;Box N°36 DE 11.5 M2 /35M3;30/08/2023;...;;;;
R69-0037;Box N°37 DE11.5 M2 /35M3;30/08/2023;...;;;;
R69-0038;Box N°38 DE11.5 M2 /35M3;30/08/2023;...;;;;
R69-0039;Box N°39 DE11.5 M2 /35M3;30/08/2023;...;;;;
R69-0040;Box N°40 DE 23 M2 /67M3;30/08/2023;...;;;;
R69-0041;Box N°41 DE11.5 M2 /35M3;30/08/2023;...;;;;
R69-0042;Box N°42 DE11.5 M2 /35M3;30/08/2023;...;;;;
R69-0043;Box N°43 DE11.5 M2 /35M3;30/08/2023;...;;;;
R69-0044;Box N°44 DE11.5 M2 /35M3;30/08/2023;...;;;;
R69-0045;Box N°45 DE11.5 M2 /35M3;30/08/2023;...;;;;
R69-0046;Box N°46 DE11.5 M2 /35M3;30/08/2023;...;;;;
R69-0047;Box N°47 DE11.5 M2 /35M3;30/08/2023;...;;;;
R69-0048;Box N°48 DE11.5 M2 /35M3;30/08/2023;...;;;;
R69-0049;Box N°49 DE11.5 M2 /35M3;30/08/2023;...;;;;
R69-0050;Box N°50 DE31 M2 /111M3;30/08/2023;...;;;;
R69-0051;BOX N° 51 DE 11.5 M² /35M;30/08/2023;...;;;;
R69-0052;BOX N° 52 / 11.5M² / 35M3;30/08/2023;...;;;;
R69-0053;BOX N° 53 / 11.5M² / 35M3;30/08/2023;...;;;;
R69-0054;BOX N° 54 / 11.5M² / 35M3;30/08/2023;...;;;;
R69-0055;BOX N° 55 / 11.5M² / 35M3;30/08/2023;...;;;;
R69-0056;BOX N° 56 / 11.5M² / 3Box;30/08/2023;...;;;;
R69-0057;BOX N° 57 / 11.5M² / 3Box;30/08/2023;...;;;;
R69-0058;BOX N° 58 / 11.5M² / 35M3;30/08/2023;...;;;;
R69-0059;BOX N° 59 / 11.5M² / 35M3;30/08/2023;...;;;;
R69-0060;BOX N° 60 / 11.5M² / 35M3;30/08/2023;...;;;;
R69-0061;BOX N° 61 / 11.5M² / 35M3;30/08/2023;...;;;;
